	Code	Name
COG0001	H	Coenzyme transport and metabolism
COG0002	E	Amino acid transport and metabolism
COG0003	P	Inorganic ion transport and metabolism
COG0004	P	Inorganic ion transport and metabolism
COG0005	F	Nucleotide transport and metabolism
COG0006	E	Amino acid transport and metabolism
COG0007	H	Coenzyme transport and metabolism
COG0008	J	Translation, ribosomal structure and biogenesis
COG0009	J	Translation, ribosomal structure and biogenesis
COG0010	E	Amino acid transport and metabolism
COG0011	S	Function unknown
COG0012	J	Translation, ribosomal structure and biogenesis
COG0013	J	Translation, ribosomal structure and biogenesis
COG0014	E	Amino acid transport and metabolism
COG0015	F	Nucleotide transport and metabolism
COG0016	J	Translation, ribosomal structure and biogenesis
COG0017	J	Translation, ribosomal structure and biogenesis
COG0018	J	Translation, ribosomal structure and biogenesis
COG0019	E	Amino acid transport and metabolism
COG0020	I	Lipid transport and metabolism
COG0021	G	Carbohydrate transport and metabolism
COG0022	C	Energy production and conversion
COG0023	J	Translation, ribosomal structure and biogenesis
COG0024	J	Translation, ribosomal structure and biogenesis
COG0025	P	Inorganic ion transport and metabolism
COG0026	F	Nucleotide transport and metabolism
COG0027	F	Nucleotide transport and metabolism
COG0028	E	Amino acid transport and metabolism
COG0028	H	Coenzyme transport and metabolism
COG0029	H	Coenzyme transport and metabolism
COG0030	J	Translation, ribosomal structure and biogenesis
COG0031	E	Amino acid transport and metabolism
COG0033	G	Carbohydrate transport and metabolism
COG0034	F	Nucleotide transport and metabolism
COG0035	F	Nucleotide transport and metabolism
COG0036	G	Carbohydrate transport and metabolism
COG0037	J	Translation, ribosomal structure and biogenesis
COG0038	P	Inorganic ion transport and metabolism
COG0039	C	Energy production and conversion
COG0040	E	Amino acid transport and metabolism
COG0041	F	Nucleotide transport and metabolism
COG0042	J	Translation, ribosomal structure and biogenesis
COG0043	H	Coenzyme transport and metabolism
COG0044	F	Nucleotide transport and metabolism
COG0045	C	Energy production and conversion
COG0046	F	Nucleotide transport and metabolism
COG0047	F	Nucleotide transport and metabolism
COG0048	J	Translation, ribosomal structure and biogenesis
COG0049	J	Translation, ribosomal structure and biogenesis
COG0050	J	Translation, ribosomal structure and biogenesis
COG0051	J	Translation, ribosomal structure and biogenesis
COG0052	J	Translation, ribosomal structure and biogenesis
COG0053	P	Inorganic ion transport and metabolism
COG0054	H	Coenzyme transport and metabolism
COG0055	C	Energy production and conversion
COG0056	C	Energy production and conversion
COG0057	G	Carbohydrate transport and metabolism
COG0058	G	Carbohydrate transport and metabolism
