term	name	parent_names	parent_ids
GO:0000001	mitochondrion inheritance	cellular localization|organelle localization|mitochondrion localization|mitochondrion distribution	GO:0051641|GO:0051640|GO:0051646|GO:0048311
GO:0000041	transition metal ion transport	establishment of localization|transport|ion transport|cation transport|metal ion transport	GO:0051234|GO:0006810|GO:0006811|GO:0006812|GO:0030001
GO:0000042	protein targeting to Golgi	cellular localization|intracellular transport|intracellular protein transport|protein targeting	GO:0051641|GO:0046907|GO:0006886|GO:0006605
GO:0000042	protein targeting to Golgi	establishment of localization|establishment of localization in cell|intracellular transport|intracellular protein transport|protein targeting	GO:0051234|GO:0051649|GO:0046907|GO:0006886|GO:0006605
GO:0000042	protein targeting to Golgi	establishment of localization|transport|intracellular transport|intracellular protein transport|protein targeting	GO:0051234|GO:0006810|GO:0046907|GO:0006886|GO:0006605
GO:0000042	protein targeting to Golgi	cellular localization|intracellular transport|intracellular protein transport|protein targeting	GO:0051641|GO:0046907|GO:0006886|GO:0006605
GO:0000042	protein targeting to Golgi	establishment of localization|establishment of localization in cell|intracellular transport|intracellular protein transport|protein targeting	GO:0051234|GO:0051649|GO:0046907|GO:0006886|GO:0006605
GO:0000042	protein targeting to Golgi	establishment of localization|transport|intracellular transport|intracellular protein transport|protein targeting	GO:0051234|GO:0006810|GO:0046907|GO:0006886|GO:0006605
GO:0000042	protein targeting to Golgi	establishment of localization|establishment of protein localization|establishment of protein localization to organelle|establishment of protein localization to Golgi	GO:0051234|GO:0045184|GO:0072594|GO:0072600
GO:0000042	protein targeting to Golgi	establishment of localization|transport|vesicle-mediated transport|Golgi vesicle transport|intra-Golgi vesicle-mediated transport|retrograde transport, vesicle recycling within Golgi	GO:0051234|GO:0006810|GO:0016192|GO:0048193|GO:0006891|GO:0000301
GO:0000042	protein targeting to Golgi	macromolecule localization|cellular macromolecule localization|cellular protein localization|protein localization to organelle|protein localization to Golgi apparatus	GO:0033036|GO:0070727|GO:0034613|GO:0033365|GO:0034067
GO:0000042	protein targeting to Golgi	cellular localization|cellular macromolecule localization|cellular protein localization|protein localization to organelle|protein localization to Golgi apparatus	GO:0051641|GO:0070727|GO:0034613|GO:0033365|GO:0034067
GO:0000042	protein targeting to Golgi	macromolecule localization|cellular macromolecule localization|cellular protein localization|protein localization to organelle|protein localization to Golgi apparatus	GO:0033036|GO:0070727|GO:0034613|GO:0033365|GO:0034067
GO:0000042	protein targeting to Golgi	cellular localization|cellular macromolecule localization|cellular protein localization|protein localization to organelle|protein localization to Golgi apparatus	GO:0051641|GO:0070727|GO:0034613|GO:0033365|GO:0034067
