term	name	hierarchy
GO:0006085	acetyl-CoA biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|acyl-CoA metabolic process|acetyl-CoA metabolic process
GO:0006085	acetyl-CoA biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|coenzyme metabolic process|acyl-CoA metabolic process|acetyl-CoA metabolic process
GO:0004392	heme oxygenase (decyclizing) activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
GO:0004326	tetrahydrofolylpolyglutamate synthase activity	molecular_function|catalytic activity|ligase activity|ligase activity, forming carbon-nitrogen bonds|acid-amino acid ligase activity
GO:0071253	connexin binding	molecular_function|binding|protein binding
GO:0005789	endoplasmic reticulum membrane	cellular_component|membrane
GO:0050129	N-formylglutamate deformylase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides
GO:0050504	mannosyl-3-phosphoglycerate synthase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring glycosyl groups|transferase activity, transferring hexosyl groups
GO:0009982	pseudouridine synthase activity	molecular_function|catalytic activity|isomerase activity|intramolecular transferase activity
GO:0034061	DNA polymerase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|nucleotidyltransferase activity
GO:0004157	dihydropyrimidinase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides
GO:0016820	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on acid anhydrides
GO:0004151	dihydroorotase activity	molecular_function|catalytic activity|hydrolase activity|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides
GO:0016879	ligase activity, forming carbon-nitrogen bonds	molecular_function|catalytic activity|ligase activity
GO:0008737	L-fuculokinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|phosphotransferase activity, alcohol group as acceptor
GO:0008737	L-fuculokinase activity	molecular_function|catalytic activity|transferase activity|transferase activity, transferring phosphorus-containing groups|kinase activity|carbohydrate kinase activity
GO:0016530	metallochaperone activity	molecular_function
GO:0001882	nucleoside binding	molecular_function|binding|small molecule binding
GO:0004617	phosphoglycerate dehydrogenase activity	molecular_function|catalytic activity|oxidoreductase activity|oxidoreductase activity, acting on CH-OH group of donors|oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
GO:0006779	porphyrin-containing compound biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|porphyrin-containing compound metabolic process
GO:0006779	porphyrin-containing compound biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|porphyrin-containing compound metabolic process
GO:0006779	porphyrin-containing compound biosynthetic process	biological_process|metabolic process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process
GO:0006779	porphyrin-containing compound biosynthetic process	biological_process|cellular process|cellular metabolic process|cofactor metabolic process|cofactor biosynthetic process
GO:0016645	oxidoreductase activity, acting on the CH-NH group of donors	molecular_function|catalytic activity|oxidoreductase activity
GO:0006423	cysteinyl-tRNA aminoacylation	biological_process|metabolic process|primary metabolic process|cellular amino acid metabolic process|amino acid activation|tRNA aminoacylation|tRNA aminoacylation for protein translation
GO:0030280	structural constituent of epidermis	molecular_function|structural molecule activity
