	Pathway	Name	Parent	Category1	Category2	Category3	Category4	Category5	Category6	Category7
2.4.1.M5	PWY-7745	p-HBAD biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
2.1.1.M16	PWY-7745	p-HBAD biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
2.1.1.M17	PWY-7745	p-HBAD biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
2.1.1.M13	PWY-7745	p-HBAD biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
2.1.1.M15	PWY-7745	p-HBAD biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
2.4.1.M3	PWY-7745	p-HBAD biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
2.1.1.M14	PWY-7745	p-HBAD biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
4.1.3.40	PWY-7745	p-HBAD biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
2.4.1.M4	PWY-7745	p-HBAD biosynthesis	Lipid-Biosynthesis	Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis	Fatty Acid and Lipid Biosynthesis
2.1.1.8	PWY-6181	histamine degradation	AMINE-DEG	Degradation/Utilization/Assimilation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation	Amines and Polyamines Degradation
