	Node1	Node2	CPD
0	PWY-6691	NONMEVIPP-PWY	(2E,6E)-farnesyl diphosphate
1	PWY-6462	PWY-6386	ditrans,octacis-undecaprenyldiphospho-N-acetyl-(N-acetylglucosaminyl)muramoyl-L-alanyl-&gamma;-D-isoglutaminyl-L-lysyl-D-alanyl-D-alanine
2	PWY-7098	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate
3	PWY-7575	GLYCOLYSIS	acetyl-CoA
4	PWY-7575	PWY-5659	GDP-&alpha;-D-mannose
5	PWY-7577	PWY-7571	N<sup>5</sup>-hydroxy-L-ornithine
6	PWY-5054	CALVIN-PWY	&beta;-D-fructofuranose 6-phosphate
7	PWY-5054	PWY-4101	D-sorbitol
8	PWY-5054	SUCSYN-PWY	&beta;-D-fructofuranose 6-phosphate
9	ANAGLYCOLYSIS-PWY	PYRUVDEHYD-PWY	pyruvate
10	ANAGLYCOLYSIS-PWY	PWY-5100	pyruvate
11	ANAGLYCOLYSIS-PWY	PWY66-373	D-glyceraldehyde 3-phosphate
12	ANAGLYCOLYSIS-PWY	PWY-6744	NADH
13	PWY-6050	PWY-6047	dimethyl sulfide
14	PWY-6050	PWY-6058	dimethyl sulfoxide
15	PWY-6972	PWY-6971	oleandomycin
16	PWY-6516	PWY-4261	glycerol
17	PWY-6516	TCA	2-oxoglutarate
18	PWY-6516	PWY-7246	D-GALACTURONATE|5-dehydro-4-deoxy-D-glucuronate
19	PWY-6516	PWY-7248	D-GALACTURONATE
20	PWY-6305	PWY-5315	putrescine
21	PWY-6305	BSUBPOLYAMSYN-PWY	putrescine
22	PWY-6997	TCA	2-oxoglutarate
23	PWY-6797	PWY-6148	7,8-dihydroneopterin|(7,8-dihydropterin-6-yl)methyl diphosphate
24	PWY-6432	PWY-3462	L-phenylalanine
25	PWY-6432	PWY-6457	(E)-cinnamoyl-CoA
26	PWY-6432	PWY-4421	curcumin
27	PWY-782	PWY-401	1-18:1-2-16:0-digalactosyldiacylglycerol||D-Galactosyl-12-diacyl-glycerols|||Galactosyl-galactosyl-diacyl-glycerols||1-18:1-2-16:0-monogalactosyldiacylglycerol|1-18:2-2-18:2-monogalactosyldiacylglycerol|1-16:0-2-18:2-digalactosyldiacylglycerol|1-18:2-2-18:2-digalactosyldiacylglycerol
28	PWY-5749	PYRUVDEHYD-PWY	pyruvate
29	PWY-5749	TCA	acetyl-CoA
30	PWY-7655	PWY-7653	griseophenone C
31	PWY-6419	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate
32	TRPSYN-PWY	PWY-7476	anthranilate
33	TRPSYN-PWY	PWY-6165	chorismate
34	TRPSYN-PWY	PWY-7549	L-tryptophan
35	TRPSYN-PWY	PWY-7612	L-tryptophan
36	TRPSYN-PWY	PWY-7525	L-tryptophan
37	TRPSYN-PWY	PWY-7520	L-tryptophan
38	TRPSYN-PWY	PWY-7609	L-tryptophan
