tigrfam	mainrole	sub1role
TIGR01341	Energy metabolism	TCA cycle
TIGR03162	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR00891	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00330	Energy metabolism	Pentose phosphate pathway
TIGR02275	Transport and binding proteins	Cations and iron carrying compounds
TIGR00061	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01081	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR04431	Cellular processes	Toxin production and resistance
TIGR01117	Energy metabolism	ATP-proton motive force interconversion
TIGR01866	Unknown	Unknown
TIGR03952	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR01894	Unknown	Unknown
TIGR03723	Protein synthesis	tRNA and rRNA base modification
TIGR03783	Cellular processes	DNA transformation
TIGR01518	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR01440	Hypothetical proteins	Conserved
TIGR03758	Mobile and extrachromosomal element functions	Plasmid functions
TIGR04530	Transport and binding proteins	Other
TIGR02281	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR02891	Energy metabolism	Electron transport
TIGR02607	Regulatory functions	DNA interactions
TIGR02727	Central intermediary metabolism	One-carbon metabolism
TIGR02922	Hypothetical proteins	Conserved
TIGR00446	Protein synthesis	tRNA and rRNA base modification
TIGR01281	Biosynthesis of cofactors, prosthetic groups, and carriers	Chlorophyll and bacteriochlorphyll
TIGR04506	Cellular processes	Biosynthesis of natural products
TIGR00393	Energy metabolism	Sugars
TIGR03720	Cellular processes	Sporulation and germination
TIGR00116	Protein synthesis	Translation factors
TIGR03906	Protein fate	Protein modification and repair
TIGR02871	Cellular processes	Sporulation and germination
TIGR03689	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR01214	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02749	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR01141	Amino acid biosynthesis	Histidine family
TIGR00272	Protein fate	Protein modification and repair
TIGR02663	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR01854	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01895	Unknown	Unknown
TIGR00494	Unknown function	General
TIGR03926	Protein fate	Protein and peptide secretion and trafficking
TIGR03415	Transport and binding proteins	Amino acids, peptides and amines
TIGR03120	Central intermediary metabolism	One-carbon metabolism
TIGR00638	Transport and binding proteins	Anions
TIGR00017	Purines, pyrimidines, nucleosides, and nucleotides	Nucleotide and nucleoside interconversions
TIGR03229	Energy metabolism	Other
TIGR02901	Energy metabolism	Electron transport
TIGR02870	Cellular processes	Sporulation and germination
TIGR03383	Central intermediary metabolism	Other
TIGR04395	Energy metabolism	Amino acids and amines
TIGR01472	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR00327	Protein fate	Protein and peptide secretion and trafficking
TIGR01371	Amino acid biosynthesis	Aspartate family
TIGR01574	Protein synthesis	tRNA and rRNA base modification
TIGR00152	Biosynthesis of cofactors, prosthetic groups, and carriers	Pantothenate and coenzyme A
TIGR01740	Purines, pyrimidines, nucleosides, and nucleotides	Pyrimidine ribonucleotide biosynthesis
TIGR00435	Protein synthesis	tRNA aminoacylation
TIGR02605	Regulatory functions	DNA interactions
TIGR01005	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03927	Protein fate	Protein and peptide secretion and trafficking
TIGR00421	Unknown function	Enzymes of unknown specificity
TIGR01251	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR00298	Biosynthesis of cofactors, prosthetic groups, and carriers	Other
TIGR00948	Transport and binding proteins	Amino acids, peptides and amines
TIGR00941	Transport and binding proteins	Cations and iron carrying compounds
TIGR01744	Purines, pyrimidines, nucleosides, and nucleotides	Salvage of nucleosides and nucleotides
TIGR00009	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01074	DNA metabolism	DNA replication, recombination, and repair
TIGR00359	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02874	Cellular processes	Sporulation and germination
TIGR01925	Regulatory functions	Protein interactions
TIGR01543	Mobile and extrachromosomal element functions	Prophage functions
TIGR00319	Energy metabolism	Electron transport
TIGR01860	Central intermediary metabolism	Nitrogen fixation
TIGR03045	Energy metabolism	Photosynthesis
TIGR00993	Transport and binding proteins	Amino acids, peptides and amines
TIGR02935	Central intermediary metabolism	Nitrogen fixation
TIGR01553	Energy metabolism	Anaerobic
TIGR01967	Unknown function	Enzymes of unknown specificity
TIGR00798	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR01554	Mobile and extrachromosomal element functions	Prophage functions
TIGR02070	Cell envelope	Biosynthesis and degradation of murein sacculus and peptidoglycan
TIGR02784	DNA metabolism	DNA replication, recombination, and repair
TIGR00424	Central intermediary metabolism	Sulfur metabolism
TIGR01142	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR00163	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR02038	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR01262	Energy metabolism	Amino acids and amines
TIGR01164	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR01256	Transport and binding proteins	Anions
TIGR00185	Protein synthesis	tRNA and rRNA base modification
TIGR03160	Biosynthesis of cofactors, prosthetic groups, and carriers	Heme, porphyrin, and cobalamin
TIGR02686	Mobile and extrachromosomal element functions	Plasmid functions
TIGR00800	Transport and binding proteins	Nucleosides, purines and pyrimidines
TIGR03379	Energy metabolism	Anaerobic
TIGR00056	Hypothetical proteins	Conserved
TIGR01439	Regulatory functions	DNA interactions
TIGR03052	Energy metabolism	Photosynthesis
TIGR00164	Unknown function	General
TIGR02824	Unknown function	Enzymes of unknown specificity
TIGR03006	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01348	Energy metabolism	Pyruvate dehydrogenase
TIGR03256	Energy metabolism	Methanogenesis
TIGR01222	Cellular processes	Cell division
TIGR00877	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR03885	Unknown function	Enzymes of unknown specificity
TIGR00799	Transport and binding proteins	Unknown substrate
TIGR03371	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR02748	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR02112	Energy metabolism	Electron transport
TIGR03483	Cellular processes	Cell division
TIGR00059	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR00975	Transport and binding proteins	Anions
TIGR00687	Biosynthesis of cofactors, prosthetic groups, and carriers	Pyridoxine
TIGR01422	Central intermediary metabolism	Other
TIGR02817	Energy metabolism	Fermentation
TIGR03743	Mobile and extrachromosomal element functions	Other
TIGR03851	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR02698	Transport and binding proteins	Cations and iron carrying compounds
TIGR03635	Protein synthesis	Ribosomal proteins: synthesis and modification
TIGR02852	Cellular processes	Sporulation and germination
TIGR00709	Central intermediary metabolism	Other
TIGR04014	Unknown function	Enzymes of unknown specificity
TIGR01078	Energy metabolism	Amino acids and amines
TIGR02140	Transport and binding proteins	Anions
TIGR02082	Amino acid biosynthesis	Aspartate family
TIGR01151	Energy metabolism	Electron transport
TIGR02201	Cell envelope	Biosynthesis and degradation of surface polysaccharides and lipopolysaccharides
TIGR01475	Biosynthesis of cofactors, prosthetic groups, and carriers	Menaquinone and ubiquinone
TIGR02587	Cell envelope	Other
TIGR01653	Cellular processes	Toxin production and resistance
TIGR02706	Energy metabolism	Fermentation
TIGR04394	Energy metabolism	Amino acids and amines
TIGR00807	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR00099	Unknown function	Enzymes of unknown specificity
TIGR00474	Protein synthesis	tRNA aminoacylation
TIGR03095	Energy metabolism	Electron transport
TIGR00848	Transport and binding proteins	Carbohydrates, organic alcohols, and acids
TIGR03907	Energy metabolism	Amino acids and amines
TIGR00924	Transport and binding proteins	Amino acids, peptides and amines
TIGR00617	DNA metabolism	DNA replication, recombination, and repair
TIGR02710	Unknown	Unknown
TIGR02808	Hypothetical proteins	Conserved
TIGR04432	Protein synthesis	tRNA and rRNA base modification
TIGR02419	Mobile and extrachromosomal element functions	Prophage functions
TIGR00736	Unknown function	General
TIGR02918	Protein fate	Protein modification and repair
TIGR03446	Cellular processes	Detoxification
TIGR02979	Cellular processes	Adaptations to atypical conditions
TIGR02602	Protein fate	Protein and peptide secretion and trafficking
TIGR03876	Unknown	Unknown
TIGR00780	Energy metabolism	Electron transport
TIGR00752	Cell envelope	Other
TIGR02057	Central intermediary metabolism	Sulfur metabolism
TIGR01015	Energy metabolism	Amino acids and amines
TIGR01296	Amino acid biosynthesis	Aspartate family
TIGR01836	Fatty acid and phospholipid metabolism	Biosynthesis
TIGR03019	Unknown function	General
TIGR03170	Cellular processes	Chemotaxis and motility
TIGR00698	Hypothetical proteins	Conserved
TIGR00329	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR03148	Energy metabolism	Electron transport
TIGR01735	Purines, pyrimidines, nucleosides, and nucleotides	Purine ribonucleotide biosynthesis
TIGR00346	Transport and binding proteins	Amino acids, peptides and amines
TIGR02672	Unknown	Unknown
TIGR00221	Central intermediary metabolism	Amino sugars
TIGR02105	Protein fate	Protein and peptide secretion and trafficking
TIGR01322	Energy metabolism	Biosynthesis and degradation of polysaccharides
TIGR01674	Mobile and extrachromosomal element functions	Prophage functions
TIGR00493	Protein fate	Degradation of proteins, peptides, and glycopeptides
TIGR00900	Transport and binding proteins	Cations and iron carrying compounds
TIGR02519	Cell envelope	Surface structures
TIGR03601	Cellular processes	Toxin production and resistance
